packet_rate,failed_logins,event,action_label
48.73,0,Port Scan,ALERT
9.59,1,Normal,ALLOW
19.97,0,Normal,ALLOW
16.15,0,Normal,ALLOW
32.9,0,Port Scan,ALERT
60.06,2,Port Scan,ALERT
10.82,5,Brute Force,BLOCK_IP
23.05,1,Normal,ALLOW
10.31,1,Normal,ALLOW
29.81,0,Normal,ALLOW
12.61,1,Normal,ALLOW
5.18,0,Normal,ALLOW
12.28,0,Normal,ALLOW
15.0,1,Normal,ALLOW
44.61,2,Port Scan,ALERT
16.4,0,Normal,ALLOW
20.46,1,Normal,ALLOW
17.86,1,Normal,ALLOW
28.67,8,Brute Force,BLOCK_IP
20.19,0,Normal,ALLOW
28.02,5,Brute Force,BLOCK_IP
77.44,1,Port Scan,ALERT
25.21,0,Normal,ALLOW
5.4,1,Normal,ALLOW
747.39,0,DDoS,RATE_LIMIT
16.0,0,Normal,ALLOW
20.25,1,Normal,ALLOW
5.86,1,Normal,ALLOW
25.64,5,Brute Force,BLOCK_IP
63.13,1,Port Scan,ALERT
27.01,9,Brute Force,BLOCK_IP
57.34,1,Port Scan,ALERT
5.78,1,Normal,ALLOW
820.11,0,DDoS,RATE_LIMIT
28.49,1,Normal,ALLOW
28.17,0,Normal,ALLOW
46.87,11,Brute Force,BLOCK_IP
58.52,0,Port Scan,ALERT
48.45,8,Brute Force,BLOCK_IP
14.72,1,Normal,ALLOW
56.98,1,Port Scan,ALERT
29.13,1,Normal,ALLOW
18.57,0,Normal,ALLOW
12.41,0,Normal,ALLOW
6.86,0,Normal,ALLOW
15.59,0,Normal,ALLOW
9.97,1,Normal,ALLOW
5.35,0,Normal,ALLOW
65.34,2,Port Scan,ALERT
24.75,0,Normal,ALLOW
6.85,0,Normal,ALLOW
21.28,1,Normal,ALLOW
26.58,1,Normal,ALLOW
559.56,0,DDoS,RATE_LIMIT
34.77,2,Port Scan,ALERT
45.55,0,Port Scan,ALERT
23.24,1,Normal,ALLOW
43.74,2,Port Scan,ALERT
16.81,0,Normal,ALLOW
29.29,0,Normal,ALLOW
808.63,0,DDoS,RATE_LIMIT
58.06,2,Port Scan,ALERT
11.4,0,Normal,ALLOW
56.14,2,Port Scan,ALERT
14.44,15,Brute Force,BLOCK_IP
14.32,10,Brute Force,BLOCK_IP
16.88,0,Normal,ALLOW
17.71,1,Normal,ALLOW
8.48,0,Normal,ALLOW
15.26,0,Normal,ALLOW
10.08,0,Normal,ALLOW
261.58,0,DDoS,RATE_LIMIT
21.59,9,Brute Force,BLOCK_IP
27.01,1,Normal,ALLOW
70.41,0,Port Scan,ALERT
7.64,1,Normal,ALLOW
842.94,0,DDoS,RATE_LIMIT
9.66,1,Normal,ALLOW
27.08,1,Normal,ALLOW
25.19,1,Normal,ALLOW
13.91,1,Normal,ALLOW
7.75,0,Normal,ALLOW
21.19,0,Normal,ALLOW
42.72,12,Brute Force,BLOCK_IP
12.62,1,Normal,ALLOW
17.77,0,Normal,ALLOW
587.86,0,DDoS,RATE_LIMIT
22.31,1,Normal,ALLOW
13.44,0,Normal,ALLOW
9.21,1,Normal,ALLOW
17.97,0,Normal,ALLOW
50.19,1,Port Scan,ALERT
48.87,7,Brute Force,BLOCK_IP
11.17,0,Normal,ALLOW
17.43,0,Normal,ALLOW
8.7,1,Normal,ALLOW
229.51,0,DDoS,RATE_LIMIT
20.24,1,Normal,ALLOW
528.83,0,DDoS,RATE_LIMIT
11.32,4,Brute Force,BLOCK_IP
20.86,1,Normal,ALLOW
37.24,1,Port Scan,ALERT
79.28,2,Port Scan,ALERT
21.8,0,Normal,ALLOW
14.24,0,Normal,ALLOW
66.41,0,Port Scan,ALERT
20.81,1,Normal,ALLOW
14.97,0,Normal,ALLOW
7.26,0,Normal,ALLOW
320.57,0,DDoS,RATE_LIMIT
30.33,6,Brute Force,BLOCK_IP
19.77,0,Normal,ALLOW
10.51,1,Normal,ALLOW
17.8,0,Normal,ALLOW
478.93,0,DDoS,RATE_LIMIT
13.85,12,Brute Force,BLOCK_IP
22.27,1,Normal,ALLOW
55.89,0,Port Scan,ALERT
